Ad Group,Callout text,Characters,Verify before launch
Core (Account Level),Serving NC Since 1982,21,
Core (Account Level),40+ Years Defending NC,22,
Core (Account Level),AV Preeminent Rated,19,
Core (Account Level),Top 100 Trial Lawyers,21,YES
Core (Account Level),Free Case Consultation,22,YES
Core (Account Level),Downtown Wilmington,19,
Core (Account Level),Walk-Ins Welcome,16,YES
Core (Account Level),Partner-Led Defense,19,
Core (Account Level),Trial-Tested Defense,20,
Core (Account Level),Direct Attorney Access,22,YES
DWI / DUI,"2,000+ DWI Cases Handled",24,
DWI / DUI,DWI Defense Since 1982,22,
DWI / DUI,First-Offense DWI Help,22,
DWI / DUI,Protect Your License,20,
DWI / DUI,Breath Test Challenges,22,
DWI / DUI,Felony DWI Defense,18,
DWI / DUI,Underage DWI Defense,20,
DMV Hearings / License,DMV Hearing Defense,19,
DMV Hearings / License,License Restoration Help,24,
DMV Hearings / License,Revoked License Hearings,24,
DMV Hearings / License,DWLR Charge Defense,19,
DMV Hearings / License,DMV Medical Hearings,20,
DMV Hearings / License,Limited Driving Privilege,25,
Drug Charges,Drug Charge Defense,19,
Drug Charges,Felony Drug Cases,17,
Drug Charges,Search & Seizure Defense,24,
Drug Charges,Possession Charge Defense,25,
Traffic / Tickets,Speeding Ticket Defense,23,
Traffic / Tickets,Reckless Driving Defense,24,
Traffic / Tickets,Avoid License Points,20,
Traffic / Tickets,Out-of-State Drivers OK,23,
Traffic / Tickets,CDL Driver Defense,18,
Felony / Serious Charges,Felony Defense Attorneys,24,
Felony / Serious Charges,Federal Court Defense,21,
Felony / Serious Charges,Assault Charge Defense,22,
Felony / Serious Charges,State & Federal Trials,22,
Local / Geo Trust,New Hanover County Courts,25,
Local / Geo Trust,Steps From the Courthouse,25,
Local / Geo Trust,Local Wilmington Firm,21,
Local / Geo Trust,Known in Local Courts,21,
Local / Geo Trust,Pender & Brunswick Co.,22,YES
