Campaign,Ad Group,Keyword,Match Type,Serving RSA,Status
Drunk Driving Defense,Drunk Driving,[drunk driving lawyer],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,[drunk driving attorney],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""drunk driving defense attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""drunk driving defense lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""drunk driving lawyer near me""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""drunk driving charge attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""arrested for drunk driving lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Drunk Driving,"""drunk driving lawyer {city}""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi lawyer],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi attorney],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi lawyer near me],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi attorney near me],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi lawyer {city}],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,[dwi attorney {city}],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,"""dwi defense lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,"""dwi defense attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DWI Attorney,"""hire a dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,[dui lawyer],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,[dui attorney],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,[dui lawyer near me],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,[dui attorney near me],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,[dui lawyer {city}],Exact,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,"""dui defense attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DUI Attorney,"""dui defense lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,First Offense,"""first offense dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,First Offense,"""first offense dui lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,First Offense,"""first dwi attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,First Offense,"""first time dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,First Offense,"""first time dui attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""second dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""second offense dwi attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""third dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""felony dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""felony dwi attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""habitual dwi lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,Repeat & Felony DWI,"""repeat dwi attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""dmv hearing lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""dmv hearing attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""license restoration lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""license restoration attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""revoked license attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""get my license back lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""driving while license revoked lawyer""",Phrase,RSA 2 - Drunk Driving Defense,Active
Drunk Driving Defense,DMV Hearings & License,"""dwlr attorney""",Phrase,RSA 2 - Drunk Driving Defense,Active
Felony Criminal Defense,Felony Defense,[felony lawyer],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,[felony attorney],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,[felony lawyer near me],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,[felony attorney {city}],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""felony defense lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""felony defense attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""felony charge attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""felony criminal defense attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""felony criminal lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Felony Defense,"""habitual felon lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,[criminal defense attorney],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,[criminal defense lawyer],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,[criminal lawyer near me],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,[criminal defense attorney {city}],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,[criminal lawyer {city}],Exact,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,"""criminal defense law firm""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Criminal Defense,"""hire a criminal defense lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""drug charge lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""drug charge attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""drug possession lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""drug possession attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""possession charge lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Drug Charges,"""drug crime lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Assault & Violent,"""assault charge lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Assault & Violent,"""assault charge attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Assault & Violent,"""assault defense lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Assault & Violent,"""assault attorney near me""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Assault & Violent,"""violent crime attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Federal Defense (phase 2),"""federal criminal defense attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Federal Defense (phase 2),"""federal criminal lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Federal Defense (phase 2),"""federal defense attorney""",Phrase,RSA 1 - Felony Criminal Defense,Active
Felony Criminal Defense,Federal Defense (phase 2),"""federal charges lawyer""",Phrase,RSA 1 - Felony Criminal Defense,Active
General Criminal Defense (optional third),General Criminal,[criminal attorney near me],Exact,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),General Criminal,"""criminal law firm {city}""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),General Criminal,"""defense attorney for criminal charges""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),General Criminal,"""criminal defense representation""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),Misdemeanor Defense,"""misdemeanor lawyer""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),Misdemeanor Defense,"""misdemeanor attorney""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),Misdemeanor Defense,"""misdemeanor defense lawyer""",Phrase,RSA 3 - General Criminal Defense,Active
General Criminal Defense (optional third),Misdemeanor Defense,"""misdemeanor charge attorney""",Phrase,RSA 3 - General Criminal Defense,Active
Traffic & License,Traffic Tickets,[traffic ticket lawyer],Exact,-,Held
Traffic & License,Traffic Tickets,[traffic ticket attorney],Exact,-,Held
Traffic & License,Traffic Tickets,[traffic lawyer near me],Exact,-,Held
Traffic & License,Traffic Tickets,[traffic attorney {city}],Exact,-,Held
Traffic & License,Traffic Tickets,"""fight a traffic ticket lawyer""",Phrase,-,Held
Traffic & License,Traffic Tickets,"""traffic violation attorney""",Phrase,-,Held
Traffic & License,Speeding Tickets,"""speeding ticket lawyer""",Phrase,-,Held
Traffic & License,Speeding Tickets,"""speeding ticket attorney""",Phrase,-,Held
Traffic & License,Speeding Tickets,"""speeding ticket lawyer near me""",Phrase,-,Held
Traffic & License,Speeding Tickets,"""speeding citation attorney""",Phrase,-,Held
Traffic & License,Reckless Driving,"""reckless driving lawyer""",Phrase,-,Held
Traffic & License,Reckless Driving,"""reckless driving attorney""",Phrase,-,Held
Traffic & License,Reckless Driving,"""reckless driving ticket lawyer""",Phrase,-,Held
Traffic & License,Reckless Driving,"""careless driving attorney""",Phrase,-,Held
